LYBNo|SaleDate|ShopCode|SalesMemoNo|GTIN|GTINDescription|QuantitySold|NetSales|ExtractionDate
LYB008212212|2024-02-22|0503|18808333|33277|SHOWER GEL MORINGA 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB010884003|2024-02-22|8701|19805598|23584|SHOWER CREAM SHEA 250ML A0X RENO 2022|1.0|31.5|2024-02-22
LYB005943834|2024-02-22|0359|23014889|24929|SHOWER GEL PINK GRAPEFRUIT 60ML A0X RENO 2022|1.0|16.5|2024-02-22
LYB010883420|2024-02-22|0345|43020530|23547|SHOWER GEL SATSUMA 250ML A0X RENO 2023|1.0|35.0|2024-02-22
LYB008464976|2024-02-22|0368|135025102|23152|VIRTUAL REFILL SHOWER CRM AMH 300ML A0|1.0|33.15|2024-02-22
LYB010786163|2024-02-22|0340|22907040|27003|NIGHT CREAM VITAMIN E 50ML A0X RENO 2023|1.0|71.25|2024-02-22
LYB008229140|2024-02-22|0333|24023564|18667|BODY MIST CHOICE GLOWING CHERRY BLOSSOM 100ML A0X|1.0|67.5|2024-02-22
LYB001704264|2024-02-22|0709|5508913|98049|EDT SHEA 30ML RENO 2021|1.0|67.15|2024-02-22
LYB010884119|2024-02-22|0328|39016774|33591|CONDITIONER GINGER 250ML A0X RENO 2023|1.0|50.15|2024-02-22
LYB010380871|2024-02-22|8901|5606668|98092|EDT BLACK MUSK NIGHT BLOOM 60ML A0X RENO 2021|1.0|143.65|2024-02-22
LYB001577235|2024-02-22|0606|145014488|97365|BODY BUTTER MANGO 200ML RENO 2021|7.0|619.5|2024-02-22
LYB010883891|2024-02-22|0413|113011302|97345|BODY BUTTER AVOCADO 200ML A0X 2021|1.0|100.3|2024-02-22
LYB008027890|2024-02-22|0902|23305666|17153|LIP SCRUB MANGO 20ML A0X|1.0|44.25|2024-02-22
LYB010883563|2024-02-22|0353|44012007|33277|SHOWER GEL MORINGA 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB007342066|2024-02-22|0315|121019177|33275|SHOWER GEL STRAWBERRY 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB010869165|2024-02-22|0720|98027096|27033|BI-PHASE SERUM VITAMIN E 30ML A0X 2023|1.0|104.25|2024-02-22
LYB009374573|2024-02-22|0507|25104917|10347|SHAMPOO GINGER RENO 60ML A21X|1.0|16.5|2024-02-22
LYB005363038|2024-02-22|0409|144021440|97512|BODY YOGURT BRITISH ROSE 200ML A0X RENO 2022|1.0|65.0|2024-02-22
LYB007400324|2024-02-22|0389|24805769|27109|MULTI-PROTECTION LIGHT ESS SKIN DEFENCE SPF50 PA++++ 60ML AX RENO 2023|1.0|126.75|2024-02-22
LYB010203563|2024-02-22|0368|137030537|23574|SHOWER GEL BRITISH ROSE 250ML A0X RENO 2022|1.0|31.5|2024-02-22
LYB001051153|2024-02-22|0342|123015422|15535|HAND CREAM BRITISH ROSE 30ML A0X RENO 2021|1.0|26.25|2024-02-22
LYB000724331|2024-02-22|0359|23014883|34542|BODY LOTION BRITISH ROSE 200ML RENO A0X 2023|1.0|80.0|2024-02-22
LYB000932745|2024-02-22|0409|144021442|33277|SHOWER GEL MORINGA 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB003750504|2024-02-22|0342|123015431|23573|SHOWER GEL STRAWBERRY 250ML A0X RENO 2022|1.0|31.5|2024-02-22
LYB007397640|2024-02-22|0355|9506441|34543|BODY LOTION ALMOND MILK 200ML A0X RENO 2023|2.0|106.0|2024-02-22
LYB010884216|2024-02-22|0327|21014782|98052|EDT BRITISH ROSE 100ML RENO A0X 2021|1.0|81.75|2024-02-22
LYB004590486|2024-02-22|0504|2760458|328|2023 GENERIC MATCH BOX SIZE XL (TBS POD & BCORP LOGO)|1.0|8.9|2024-02-22
LYB010277869|2024-02-22|0702|153017425|10347|SHAMPOO GINGER RENO 60ML A21X|1.0|0.0|2024-02-22
LYB008830328|2024-02-22|0333|24023562|95460|HAIR BRUSH BAMBOO MINI A0 2018|1.0|39.0|2024-02-22
LYB010786163|2024-02-22|0340|22907040|27837|MOISTURE CREAM VIT E 100ML A0X RENO 2023 (x)|1.0|104.25|2024-02-22
LYB003773897|2024-02-22|0368|135025101|97909|SHAMPOO GINGER 250ML RENO 2021|1.0|44.25|2024-02-22
LYB010884182|2024-02-22|0606|145014497|17273|BODY SCRUB SHEA 50ML A0X RENO 2021|1.0|31.5|2024-02-22
LYB010884049|2024-02-22|0903|25903780|98110|EDP WHITE MUSK 30ML A0X RENO 2021|1.0|119.25|2024-02-22
LYB010883730|2024-02-22|0364|26303210|26966|MOISTURE CREAM VIT E 50ML A0X RENO 2023|1.0|75.65|2024-02-22
LYB005853805|2024-02-22|0412|52021219|37702|MASSAGE OIL LAV & VETIVER CALM 100ML A0X|1.0|126.65|2024-02-22
LYB007397640|2024-02-22|0355|9506443|10347|SHAMPOO GINGER RENO 60ML A21X|1.0|0.0|2024-02-22
LYB010796355|2024-02-22|0368|135025089|33277|SHOWER GEL MORINGA 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB010883916|2024-02-22|0710|86016497|25600|DEODORANT ANTIPER BLUE MUSK ZEST 50ML AX|1.0|41.65|2024-02-22
LYB008992327|2024-02-22|0411|151020883|33275|SHOWER GEL STRAWBERRY 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB010475151|2024-02-22|0343|212011224|94655|BRUSH CACTUS LONG HANDLE A0 2018|1.0|92.65|2024-02-22
LYB002348463|2024-02-22|0315|121019170|33275|SHOWER GEL STRAWBERRY 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB010884049|2024-02-22|0903|25903780|33275|SHOWER GEL STRAWBERRY 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB006754866|2024-02-22|0902|23305667|26025|SHAMPOO SHEA RENO 60ML A0X|1.0|0.0|2024-02-22
LYB000331283|2024-02-22|0359|23014887|10278|CLEANSER OIL CAMOMILE 160ML A0X.|2.0|178.0|2024-02-22
LYB004654580|2024-02-22|0505|2680803|26029|CONDITIONER SHEA 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB006956297|2024-02-22|0607|81015816|26960|FACE WASH VITAMIN E 125ML A0X RENO 2023|1.0|67.0|2024-02-22
LYB010883448|2024-02-22|0345|43020531|17964|DAY CREAM EDELWEISS 50ML A0X|1.0|144.0|2024-02-22
LYB010502136|2024-02-22|0315|128021797|31307|HAND CREAM STRAWBERRY 30ML A0X RENO 2023|1.0|29.75|2024-02-22
LYB010730401|2024-02-22|0710|86016500|23580|SHOWER GEL OLIVE 250ML A0X RENO 2023|2.0|67.2|2024-02-22
LYB006003036|2024-02-22|0702|153017429|83809|HAIR & BODY MIST SUPERFOOD POMEGRANATE & RED BERRIES 150ML A0X 2020|1.0|72.0|2024-02-22
LYB007400324|2024-02-22|0389|24805769|26256|CONDITIONER GINGER 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB001520121|2024-02-22|0352|124015970|25459|EDT BLUE MUSK 60ML A0X|1.0|169.0|2024-02-22
LYB010883712|2024-02-22|0411|151020888|26256|CONDITIONER GINGER 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB006673118|2024-02-22|0363|24606173|25988|SHOWER GEL SATSUMA 60ML A0X RENO 2022|1.0|16.5|2024-02-22
LYB010883907|2024-02-22|0350|178027112|34081|EDP FULL YLANG YLANG 75ML A0X|1.0|201.75|2024-02-22
LYB006426325|2024-02-22|0361|69012783|16799|LIP BALM SWIPE IT PASSIONFRUIT 6G A0X|1.0|58.65|2024-02-22
LYB007459480|2024-02-22|0315|128021807|23234|VIRTUAL REFILL SHAMPOO GINGER 300ML A0|1.0|59.0|2024-02-22
LYB000740010|2024-02-22|0310|129036713|37704|BODY SCRUB IN OIL LAV & VET CALM 275G A0X|1.0|134.25|2024-02-22
LYB008992327|2024-02-22|0411|151020883|27034|OVERNIGHT MASK VITAMIN E 75ML A0X 2023|1.0|74.25|2024-02-22
LYB003372388|2024-02-22|0389|24805764|98043|EDT VANILLA 30ML RENO 2021|1.0|79.0|2024-02-22
LYB010583742|2024-02-22|0363|24606174|26025|SHAMPOO SHEA RENO 60ML A0X|1.0|0.0|2024-02-22
LYB002324287|2024-02-22|0317|88014396|34540|BODY LOTION OLIVE 200ML A0X RENO 2023|1.0|68.0|2024-02-22
LYB007734080|2024-02-22|0310|129036703|23580|SHOWER GEL OLIVE 250ML A0X RENO 2023|1.0|12.35|2024-02-22
LYB006553708|2024-02-22|0315|121019167|33587|SHAMPOO GINGER 400ML A21X RENO 2023|1.0|60.0|2024-02-22
LYB002382041|2024-02-22|0307|25403348|24929|SHOWER GEL PINK GRAPEFRUIT 60ML A0X RENO 2022|1.0|18.7|2024-02-22
LYB001191497|2024-02-22|0303|25014448|19994|EDT CHOICE VIBRANT BERGAMOT 50ML A0X|1.0|135.15|2024-02-22
LYB006673118|2024-02-22|0363|24606173|33275|SHOWER GEL STRAWBERRY 60ML A0X RENO 2023|1.0|16.5|2024-02-22
LYB007400324|2024-02-22|0389|24805769|98130|FRAGRANCE MIST WHITE MUSK 100ML A0X RENO 2021|1.0|67.5|2024-02-22
LYB005943834|2024-02-22|0359|23014889|37698|BODY POLISH ECLYP & RSMRY FLOW 200ML A0X |1.0|134.25|2024-02-22
LYB010708156|2024-02-22|0607|81015814|18766|BODY MIST CHOICE REBEL ROSEBUD 100ML A0X|1.0|60.0|2024-02-22
LYB010223813|2024-02-22|0903|25903784|95778|DEEP CLEANSER ENERGISING GUARANA & COFFEE 150ML A0X 2021|1.0|59.25|2024-02-22
LYB004654580|2024-02-22|0505|2680803|33277|SHOWER GEL MORINGA 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB002893185|2024-02-22|0345|43020526|26029|CONDITIONER SHEA 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB010883208|2024-02-22|0363|24606163|97152|EDT WHITE MUSK LEAU 60ML A0X RENO 2021|1.0|169.0|2024-02-22
LYB008168980|2024-02-22|0503|18808342|25325|SHOWER GEL PEPPERMINT 250ML A0X 2024|1.0|33.75|2024-02-22
LYB010883703|2024-02-22|8701|19805595|94684|BATH GLOVES CREAM A0 2019|1.0|18.75|2024-02-22
LYB000276250|2024-02-22|0909|9908735|26074|SHOWER GEL OLIVE 750ML A0X RENO 2022|1.0|98.0|2024-02-22
LYB001724912|2024-02-22|0332|63013669|26076|SHOWER GEL SATSUMA 750ML A0X RENO 2022|1.0|73.5|2024-02-22
LYB010216947|2024-02-22|0709|5508915|18959|HAIR SERUM GRAPESEED 60ML 2022|1.0|45.0|2024-02-22
LYB009864483|2024-02-22|0907|4708314|26029|CONDITIONER SHEA 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB006727987|2024-02-22|0362|48012246|19363|SHOWER GEL BRITISH ROSE 750ML A0X RENO 2022|1.0|98.0|2024-02-22
LYB006503721|2024-02-22|0902|23305672|33275|SHOWER GEL STRAWBERRY 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB010121700|2024-02-22|0502|32011190|26075|SHOWER GEL MORINGA 750ML A0X RENO 2022|1.0|73.5|2024-02-22
LYB010884182|2024-02-22|0606|145014497|31401|HAND BALM ALMOND MILK 30ML A0X RENO 2023|2.0|52.5|2024-02-22
LYB010883837|2024-02-22|0364|26303213|26554|CLEANSER CREAM ALOE 125ML RENO 2023|1.0|59.25|2024-02-22
LYB010884289|2024-02-22|0712|2660726|33275|SHOWER GEL STRAWBERRY 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB006898124|2024-02-22|0368|137030562|19366|SHOWER CREAM ALMOND MILK 750ML A0X RENO 2022|1.0|73.5|2024-02-22
LYB001247990|2024-02-22|0303|25014443|23547|SHOWER GEL SATSUMA 250ML A0X RENO 2023|1.0|35.0|2024-02-22
LYB010883633|2024-02-22|0607|81015810|95778|DEEP CLEANSER ENERGISING GUARANA & COFFEE 150ML A0X 2021|1.0|67.15|2024-02-22
LYB000418643|2024-02-22|0332|63013659|33429|FACE WASH TEA TREE 250ML AX RENO 2023|1.0|65.0|2024-02-22
LYB007397640|2024-02-22|0355|9506442|10279|PERFUME OIL BLACK MUSK 20ML A0X RENO 2021|1.0|104.25|2024-02-22
